CODIGO;A„O ESCOLAR;GRADO;ASIGNATURA;NUMERO DE PERIODO;RESULTADO
20022099;2017-2018;12;Fisica;2;74
20022099;2017-2018;12;Fisica;3;84
20022099;2017-2018;12;Fisica;4;82
20022099;2017-2018;12;Quimica;1;70
20022099;2017-2018;12;Quimica;2;79
20022099;2017-2018;12;Quimica;3;85
20022099;2017-2018;12;Quimica;4;82
20022099;2017-2018;12;Ciencias Sociales;1;88
20022099;2017-2018;12;Ciencias Sociales;2;94
20022099;2017-2018;12;Ciencias Sociales;3;87
20022099;2017-2018;12;Ciencias Sociales;4;82
20022099;2017-2018;12;Economia;1;96
20022099;2017-2018;12;Economia;2;80
20022099;2017-2018;12;Economia;3;82
20022099;2017-2018;12;Economia;4;78
20022099;2017-2018;12;Espa–ol;1;86
20022099;2017-2018;12;Espa–ol;2;73
20022099;2017-2018;12;Espa–ol;3;81
20022099;2017-2018;12;Espa–ol;4;78
20022099;2017-2018;12;Estadistica;1;94
20022099;2017-2018;12;Estadistica;2;83
20022099;2017-2018;12;Estadistica;3;75
20022099;2017-2018;12;Estadistica;4;88
20022099;2017-2018;12;Filosofia;1;90
20022099;2017-2018;12;Filosofia;2;89
20022099;2017-2018;12;Filosofia;3;82
20022099;2017-2018;12;Filosofia;4;91
20022099;2017-2018;12;Ingles;1;100
20022099;2017-2018;12;Ingles;2;100
20022099;2017-2018;12;Ingles;3;100
20022099;2017-2018;12;Ingles;4;100
20022099;2017-2018;12;Disciplina;1;100
20022099;2017-2018;12;Disciplina;2;93
20022099;2017-2018;12;Disciplina;3;94
20022099;2017-2018;12;Disciplina;4;99
20032002;2017-2018;12;Matematicas;1;73
20032002;2017-2018;12;Matematicas;2;75
20032002;2017-2018;12;Matematicas;3;81
20032002;2017-2018;12;Matematicas;4;82
20032002;2017-2018;12;Fisica;1;78
20032002;2017-2018;12;Fisica;2;78
20032002;2017-2018;12;Fisica;3;80
20032002;2017-2018;12;Fisica;4;85
20032002;2017-2018;12;Quimica;1;82
20032002;2017-2018;12;Quimica;2;77
20032002;2017-2018;12;Quimica;3;86
20032002;2017-2018;12;Quimica;4;78
20032002;2017-2018;12;Ciencias Sociales;1;91
20032002;2017-2018;12;Ciencias Sociales;2;90
20032002;2017-2018;12;Ciencias Sociales;3;92
20032002;2017-2018;12;Ciencias Sociales;4;79
20032002;2017-2018;12;Economia;1;94
20032002;2017-2018;12;Economia;2;78
20032002;2017-2018;12;Economia;3;60
20032002;2017-2018;12;Economia;4;88
20032002;2017-2018;12;Espa–ol;1;90
20032002;2017-2018;12;Espa–ol;2;79
20032002;2017-2018;12;Espa–ol;3;85
20032002;2017-2018;12;Espa–ol;4;88
20032002;2017-2018;12;Estadistica;1;93
20032002;2017-2018;12;Estadistica;2;70
20032002;2017-2018;12;Estadistica;3;75
20032002;2017-2018;12;Estadistica;4;63
20032002;2017-2018;12;Filosofia;1;91
20032002;2017-2018;12;Filosofia;2;94
20032002;2017-2018;12;Filosofia;3;93
20032002;2017-2018;12;Filosofia;4;91
20032002;2017-2018;12;Ingles;1;97
20032002;2017-2018;12;Ingles;2;99
20032002;2017-2018;12;Ingles;3;100
20032002;2017-2018;12;Ingles;4;100
20032002;2017-2018;12;Disciplina;1;100
20032002;2017-2018;12;Disciplina;2;93
20032002;2017-2018;12;Disciplina;3;98
20032002;2017-2018;12;Disciplina;4;97
20032003;2017-2018;12;Matematicas;1;100
20032003;2017-2018;12;Matematicas;2;95
20032003;2017-2018;12;Matematicas;3;100
20032003;2017-2018;12;Matematicas;4;98
20032003;2017-2018;12;Fisica;1;100
20032003;2017-2018;12;Fisica;2;100
20032003;2017-2018;12;Fisica;3;100
20032003;2017-2018;12;Fisica;4;99
20032003;2017-2018;12;Quimica;1;92
20032003;2017-2018;12;Quimica;2;88
20032003;2017-2018;12;Quimica;3;92
20032003;2017-2018;12;Quimica;4;90
20032003;2017-2018;12;Ciencias Sociales;1;92
20032003;2017-2018;12;Ciencias Sociales;2;97
20032003;2017-2018;12;Ciencias Sociales;3;92
20032003;2017-2018;12;Ciencias Sociales;4;91
20032003;2017-2018;12;Economia;1;96
20032003;2017-2018;12;Economia;2;92
20032003;2017-2018;12;Economia;3;78
20032003;2017-2018;12;Economia;4;75
20032003;2017-2018;12;Espa–ol;1;84
20032003;2017-2018;12;Espa–ol;2;74
20032003;2017-2018;12;Espa–ol;3;90
20032003;2017-2018;12;Espa–ol;4;95
20032003;2017-2018;12;Estadistica;1;98
20032003;2017-2018;12;Estadistica;2;83
20032003;2017-2018;12;Estadistica;3;97
20032003;2017-2018;12;Estadistica;4;96
20032003;2017-2018;12;Filosofia;1;93
20032003;2017-2018;12;Filosofia;2;99
20032003;2017-2018;12;Filosofia;3;96
20032003;2017-2018;12;Filosofia;4;93
20032003;2017-2018;12;Ingles;1;97
20032003;2017-2018;12;Ingles;2;97
20032003;2017-2018;12;Ingles;3;93
20032003;2017-2018;12;Ingles;4;97
20032003;2017-2018;12;Disciplina;1;96
20032003;2017-2018;12;Disciplina;2;94
20032003;2017-2018;12;Disciplina;3;96
20032003;2017-2018;12;Disciplina;4;92
20032004;2017-2018;12;Matematicas;1;95
20032004;2017-2018;12;Matematicas;2;91
20032004;2017-2018;12;Matematicas;3;88
20032004;2017-2018;12;Matematicas;4;82
20032004;2017-2018;12;Fisica;1;89
20032004;2017-2018;12;Fisica;2;85
20032004;2017-2018;12;Fisica;3;90
20032004;2017-2018;12;Fisica;4;84
20032004;2017-2018;12;Quimica;1;93
20032004;2017-2018;12;Quimica;2;84
20032004;2017-2018;12;Quimica;3;86
20032004;2017-2018;12;Quimica;4;85
20032004;2017-2018;12;Ciencias Sociales;1;93
20032004;2017-2018;12;Ciencias Sociales;2;95
20032004;2017-2018;12;Ciencias Sociales;3;85
20032004;2017-2018;12;Ciencias Sociales;4;93
20032004;2017-2018;12;Economia;1;93
20032004;2017-2018;12;Economia;2;85
20032004;2017-2018;12;Economia;3;98
20032004;2017-2018;12;Economia;4;97
20032004;2017-2018;12;Espa–ol;1;93
20032004;2017-2018;12;Espa–ol;2;92
20032004;2017-2018;12;Espa–ol;3;92
20032004;2017-2018;12;Espa–ol;4;93
20032004;2017-2018;12;Estadistica;1;96
20032004;2017-2018;12;Estadistica;2;92
20032004;2017-2018;12;Estadistica;3;78
20032004;2017-2018;12;Estadistica;4;92
20032004;2017-2018;12;Filosofia;1;97
20032004;2017-2018;12;Filosofia;2;95
20032004;2017-2018;12;Filosofia;3;94
20032004;2017-2018;12;Filosofia;4;97
20032004;2017-2018;12;Ingles;1;100
20032004;2017-2018;12;Ingles;2;100
20032004;2017-2018;12;Ingles;3;100
20032004;2017-2018;12;Ingles;4;100
20032004;2017-2018;12;Disciplina;1;98
20032004;2017-2018;12;Disciplina;2;92
20032004;2017-2018;12;Disciplina;3;97
20032004;2017-2018;12;Disciplina;4;98
20032006;2017-2018;12;Matematicas;1;77
20032006;2017-2018;12;Matematicas;2;70
20032006;2017-2018;12;Matematicas;3;79
20032006;2017-2018;12;Matematicas;4;82
20032006;2017-2018;12;Fisica;1;73
20032006;2017-2018;12;Fisica;2;80
20032006;2017-2018;12;Fisica;3;81
20032006;2017-2018;12;Fisica;4;79
20032006;2017-2018;12;Quimica;1;74
20032006;2017-2018;12;Quimica;2;78
20032006;2017-2018;12;Quimica;3;86
20032006;2017-2018;12;Quimica;4;78
20032006;2017-2018;12;Ciencias Sociales;1;82
20032006;2017-2018;12;Ciencias Sociales;2;89
20032006;2017-2018;12;Ciencias Sociales;3;79
20032006;2017-2018;12;Ciencias Sociales;4;82
20032006;2017-2018;12;Economia;1;92
20032006;2017-2018;12;Economia;2;80
20032006;2017-2018;12;Economia;3;93
20032006;2017-2018;12;Economia;4;81
20032006;2017-2018;12;Espa–ol;1;79
20032006;2017-2018;12;Espa–ol;2;74
20032006;2017-2018;12;Espa–ol;3;78
20032006;2017-2018;12;Espa–ol;4;82
20032006;2017-2018;12;Estadistica;1;92
20032006;2017-2018;12;Estadistica;2;83
20032006;2017-2018;12;Estadistica;3;57
20032006;2017-2018;12;Estadistica;4;79
20032006;2017-2018;12;Filosofia;1;77
20032006;2017-2018;12;Filosofia;2;80
20032006;2017-2018;12;Filosofia;3;80
20032006;2017-2018;12;Filosofia;4;82
20032006;2017-2018;12;Ingles;1;86
20032006;2017-2018;12;Ingles;2;83
20032006;2017-2018;12;Ingles;3;77
20032006;2017-2018;12;Ingles;4;82
20032006;2017-2018;12;Disciplina;1;93
20032006;2017-2018;12;Disciplina;2;74
20032006;2017-2018;12;Disciplina;3;67
20032006;2017-2018;12;Disciplina;4;70
20032007;2017-2018;12;Matematicas;1;96
20032007;2017-2018;12;Matematicas;2;91
20032007;2017-2018;12;Matematicas;3;100
20032007;2017-2018;12;Matematicas;4;100
20032007;2017-2018;12;Fisica;1;94
20032007;2017-2018;12;Fisica;2;91
20032007;2017-2018;12;Fisica;3;91
20032007;2017-2018;12;Fisica;4;94
20032007;2017-2018;12;Quimica;1;90
20032007;2017-2018;12;Quimica;2;93
20032007;2017-2018;12;Quimica;3;91
20032007;2017-2018;12;Quimica;4;85
20032007;2017-2018;12;Ciencias Sociales;1;91
20032007;2017-2018;12;Ciencias Sociales;2;96
20032007;2017-2018;12;Ciencias Sociales;3;89
20032007;2017-2018;12;Ciencias Sociales;4;92
20032007;2017-2018;12;Economia;1;96
20032007;2017-2018;12;Economia;2;85
20032007;2017-2018;12;Economia;3;98
20032007;2017-2018;12;Economia;4;93
20032007;2017-2018;12;Espa–ol;1;92
20032007;2017-2018;12;Espa–ol;2;85
20032007;2017-2018;12;Espa–ol;3;81
20032007;2017-2018;12;Espa–ol;4;91
20032007;2017-2018;12;Estadistica;1;99
20032007;2017-2018;12;Estadistica;2;94
20032007;2017-2018;12;Estadistica;3;94
20032007;2017-2018;12;Estadistica;4;93
20032007;2017-2018;12;Filosofia;1;97
20032007;2017-2018;12;Filosofia;2;97
20032007;2017-2018;12;Filosofia;3;90
20032007;2017-2018;12;Filosofia;4;94
20032007;2017-2018;12;Ingles;1;100
20032007;2017-2018;12;Ingles;2;100
20032007;2017-2018;12;Ingles;3;100
20032007;2017-2018;12;Ingles;4;100
20032007;2017-2018;12;Disciplina;1;99
20032007;2017-2018;12;Disciplina;2;100
20032007;2017-2018;12;Disciplina;3;100
20032007;2017-2018;12;Disciplina;4;93
20032013;2017-2018;12;Matematicas;1;73
20032013;2017-2018;12;Matematicas;2;69
20032013;2017-2018;12;Matematicas;3;77
20032013;2017-2018;12;Matematicas;4;79
20032013;2017-2018;12;Fisica;1;87
20032013;2017-2018;12;Fisica;2;74
20032013;2017-2018;12;Fisica;3;88
20032013;2017-2018;12;Fisica;4;79
20032013;2017-2018;12;Quimica;1;80
20032013;2017-2018;12;Quimica;2;68
20032013;2017-2018;12;Quimica;3;67
20032013;2017-2018;12;Quimica;4;82
20032013;2017-2018;12;Ciencias Sociales;1;95
20032013;2017-2018;12;Ciencias Sociales;2;91
20032013;2017-2018;12;Ciencias Sociales;3;80
20032013;2017-2018;12;Ciencias Sociales;4;91
20032013;2017-2018;12;Economia;1;93
20032013;2017-2018;12;Economia;2;79
20032013;2017-2018;12;Economia;3;93
20032013;2017-2018;12;Economia;4;76
20032013;2017-2018;12;Espa–ol;1;91
20032013;2017-2018;12;Espa–ol;2;80
20032013;2017-2018;12;Espa–ol;3;84
20032013;2017-2018;12;Espa–ol;4;85
20032013;2017-2018;12;Estadistica;1;90
20032013;2017-2018;12;Estadistica;2;83
20032013;2017-2018;12;Estadistica;3;78
20032013;2017-2018;12;Estadistica;4;83
20032013;2017-2018;12;Filosofia;1;95
20032013;2017-2018;12;Filosofia;2;93
20032013;2017-2018;12;Filosofia;3;88
20032013;2017-2018;12;Filosofia;4;81
20032013;2017-2018;12;Ingles;1;92
20032013;2017-2018;12;Ingles;2;100
20032013;2017-2018;12;Ingles;3;100
20032013;2017-2018;12;Ingles;4;100
20032013;2017-2018;12;Disciplina;1;92
20032013;2017-2018;12;Disciplina;2;55
20032013;2017-2018;12;Disciplina;3;76
20032013;2017-2018;12;Disciplina;4;85
20032021;2017-2018;12;Matematicas;1;89
20032021;2017-2018;12;Matematicas;2;85
20032021;2017-2018;12;Matematicas;3;80
20032021;2017-2018;12;Matematicas;4;84
20032021;2017-2018;12;Fisica;1;71
20032021;2017-2018;12;Fisica;2;80
20032021;2017-2018;12;Fisica;3;80
20032021;2017-2018;12;Fisica;4;82
20032021;2017-2018;12;Quimica;1;78
20032021;2017-2018;12;Quimica;2;66
20032021;2017-2018;12;Quimica;3;73
20032021;2017-2018;12;Quimica;4;84
20032021;2017-2018;12;Ciencias Sociales;1;93
20032021;2017-2018;12;Ciencias Sociales;2;70
20032021;2017-2018;12;Ciencias Sociales;3;88
20032021;2017-2018;12;Ciencias Sociales;4;93
20032021;2017-2018;12;Economia;1;79
20032021;2017-2018;12;Economia;2;80
20032021;2017-2018;12;Economia;3;100
20032021;2017-2018;12;Economia;4;82
20032021;2017-2018;12;Espa–ol;1;92
20032021;2017-2018;12;Espa–ol;2;92
20032021;2017-2018;12;Espa–ol;3;92
20032021;2017-2018;12;Espa–ol;4;91
20032021;2017-2018;12;Estadistica;1;94
20032021;2017-2018;12;Estadistica;2;70
20032021;2017-2018;12;Estadistica;3;79
20032021;2017-2018;12;Estadistica;4;75
20032021;2017-2018;12;Filosofia;1;95
20032021;2017-2018;12;Filosofia;2;92
20032021;2017-2018;12;Filosofia;3;89
20032021;2017-2018;12;Filosofia;4;90
20032021;2017-2018;12;Ingles;1;100
20032021;2017-2018;12;Ingles;2;100
20032021;2017-2018;12;Ingles;3;100
20032021;2017-2018;12;Ingles;4;100
20032021;2017-2018;12;Disciplina;1;99
20032021;2017-2018;12;Disciplina;2;89
20032021;2017-2018;12;Disciplina;3;96
20032021;2017-2018;12;Disciplina;4;98
20032023;2017-2018;12;Matematicas;1;71
20032023;2017-2018;12;Matematicas;2;72
20032023;2017-2018;12;Matematicas;3;82
20032023;2017-2018;12;Matematicas;4;79
20032023;2017-2018;12;Fisica;1;77
20032023;2017-2018;12;Fisica;2;82
20032023;2017-2018;12;Fisica;3;79
20032023;2017-2018;12;Fisica;4;82
20032023;2017-2018;12;Quimica;1;78
20032023;2017-2018;12;Quimica;2;84
20032023;2017-2018;12;Quimica;3;87
20032023;2017-2018;12;Quimica;4;77
20032023;2017-2018;12;Ciencias Sociales;1;87
20032023;2017-2018;12;Ciencias Sociales;2;90
20032023;2017-2018;12;Ciencias Sociales;3;74
20032023;2017-2018;12;Ciencias Sociales;4;73
20032023;2017-2018;12;Economia;1;92
20032023;2017-2018;12;Economia;2;71
20032023;2017-2018;12;Economia;3;67
20032023;2017-2018;12;Economia;4;68
20032023;2017-2018;12;Espa–ol;1;85
20032023;2017-2018;12;Espa–ol;2;78
20032023;2017-2018;12;Espa–ol;3;81
20032023;2017-2018;12;Espa–ol;4;72
20032023;2017-2018;12;Estadistica;1;88
20032023;2017-2018;12;Estadistica;2;62
20032023;2017-2018;12;Estadistica;3;80
20032023;2017-2018;12;Estadistica;4;61
20032023;2017-2018;12;Filosofia;1;82
20032023;2017-2018;12;Filosofia;2;89
20032023;2017-2018;12;Filosofia;3;81
20032023;2017-2018;12;Filosofia;4;93
20032023;2017-2018;12;Ingles;1;77
20032023;2017-2018;12;Ingles;2;85
20032023;2017-2018;12;Ingles;3;76
20032023;2017-2018;12;Ingles;4;83
20032023;2017-2018;12;Disciplina;1;68
20032023;2017-2018;12;Disciplina;2;62
20032023;2017-2018;12;Disciplina;3;69
20032023;2017-2018;12;Disciplina;4;82
20032026;2017-2018;12;Matematicas;1;95
20032026;2017-2018;12;Matematicas;2;96
20032026;2017-2018;12;Matematicas;3;100
20032026;2017-2018;12;Matematicas;4;96
20032026;2017-2018;12;Fisica;1;95
20032026;2017-2018;12;Fisica;2;91
20032026;2017-2018;12;Fisica;3;93
20032026;2017-2018;12;Fisica;4;93
20032026;2017-2018;12;Quimica;1;85
20032026;2017-2018;12;Quimica;2;88
20032026;2017-2018;12;Quimica;3;90
20032026;2017-2018;12;Quimica;4;89
20032026;2017-2018;12;Ciencias Sociales;1;96
20032026;2017-2018;12;Ciencias Sociales;2;96
20032026;2017-2018;12;Ciencias Sociales;3;94
20032026;2017-2018;12;Ciencias Sociales;4;95
20032026;2017-2018;12;Economia;1;96
20032026;2017-2018;12;Economia;2;89
20032026;2017-2018;12;Economia;3;97
20032026;2017-2018;12;Economia;4;97
20032026;2017-2018;12;Espa–ol;1;96
20032026;2017-2018;12;Espa–ol;2;89
20032026;2017-2018;12;Espa–ol;3;90
20032026;2017-2018;12;Espa–ol;4;96
20032026;2017-2018;12;Estadistica;1;97
20032026;2017-2018;12;Estadistica;2;97
20032026;2017-2018;12;Estadistica;3;90
20032026;2017-2018;12;Estadistica;4;86
20032026;2017-2018;12;Filosofia;1;99
20032026;2017-2018;12;Filosofia;2;97
20032026;2017-2018;12;Filosofia;3;92
20032026;2017-2018;12;Filosofia;4;97
20032026;2017-2018;12;Ingles;1;100
20032026;2017-2018;12;Ingles;2;100
20032026;2017-2018;12;Ingles;3;100
20032026;2017-2018;12;Ingles;4;100
20032026;2017-2018;12;Disciplina;1;100
20032026;2017-2018;12;Disciplina;2;100
20032026;2017-2018;12;Disciplina;3;100
20032026;2017-2018;12;Disciplina;4;100
20032027;2017-2018;12;Matematicas;1;85
20032027;2017-2018;12;Matematicas;2;71
20032027;2017-2018;12;Matematicas;3;64
20032027;2017-2018;12;Matematicas;4;75
20032027;2017-2018;12;Fisica;1;73
20032027;2017-2018;12;Fisica;2;77
20032027;2017-2018;12;Fisica;3;89
20032027;2017-2018;12;Fisica;4;84
20032027;2017-2018;12;Quimica;1;82
20032027;2017-2018;12;Quimica;2;78
20032027;2017-2018;12;Quimica;3;86
20032027;2017-2018;12;Quimica;4;74
20032027;2017-2018;12;Ciencias Sociales;1;89
20032027;2017-2018;12;Ciencias Sociales;2;91
20032027;2017-2018;12;Ciencias Sociales;3;93
20032027;2017-2018;12;Ciencias Sociales;4;79
20032027;2017-2018;12;Economia;1;84
20032027;2017-2018;12;Economia;2;82
20032027;2017-2018;12;Economia;3;77
20032027;2017-2018;12;Economia;4;83
20032027;2017-2018;12;Espa–ol;1;87
20032027;2017-2018;12;Espa–ol;2;82
20032027;2017-2018;12;Espa–ol;3;80
20032027;2017-2018;12;Espa–ol;4;79
20032027;2017-2018;12;Estadistica;1;91
20032027;2017-2018;12;Estadistica;2;81
20032027;2017-2018;12;Estadistica;3;72
20032027;2017-2018;12;Estadistica;4;76
20032027;2017-2018;12;Filosofia;1;81
20032027;2017-2018;12;Filosofia;2;79
20032027;2017-2018;12;Filosofia;3;86
20032027;2017-2018;12;Filosofia;4;90
20032027;2017-2018;12;Ingles;1;86
20032027;2017-2018;12;Ingles;2;88
20032027;2017-2018;12;Ingles;3;90
20032027;2017-2018;12;Ingles;4;91
20032027;2017-2018;12;Disciplina;1;83
20032027;2017-2018;12;Disciplina;2;91
20032027;2017-2018;12;Disciplina;3;81
20032027;2017-2018;12;Disciplina;4;82
20032028;2017-2018;12;Matematicas;1;81
20032028;2017-2018;12;Matematicas;2;71
20032028;2017-2018;12;Matematicas;3;80
20032028;2017-2018;12;Matematicas;4;82
20032028;2017-2018;12;Fisica;1;79
20032028;2017-2018;12;Fisica;2;78
20032028;2017-2018;12;Fisica;3;88
20032028;2017-2018;12;Fisica;4;85
20032028;2017-2018;12;Quimica;1;76
20032028;2017-2018;12;Quimica;2;79
20032028;2017-2018;12;Quimica;3;82
20032028;2017-2018;12;Quimica;4;85
20032028;2017-2018;12;Ciencias Sociales;1;88
20032028;2017-2018;12;Ciencias Sociales;2;92
20032028;2017-2018;12;Ciencias Sociales;3;85
20032028;2017-2018;12;Ciencias Sociales;4;89
20032028;2017-2018;12;Economia;1;93
20032028;2017-2018;12;Economia;2;83
20032028;2017-2018;12;Economia;3;81
20032028;2017-2018;12;Economia;4;95
20032028;2017-2018;12;Espa–ol;1;81
20032028;2017-2018;12;Espa–ol;2;81
20032028;2017-2018;12;Espa–ol;3;80
20032028;2017-2018;12;Espa–ol;4;83
20032028;2017-2018;12;Estadistica;1;91
20032028;2017-2018;12;Estadistica;2;85
20032028;2017-2018;12;Estadistica;3;84
